,0
"(1, 2)",0.08
"(1, 3)",0.05
"(1, 4)",0.0
"(1, 5)",0.04
"(1, 6)",0.0
"(1, 7)",0.09
"(1, 8)",0.35
"(1, 9)",0.37
"(1, 10)",0.08
"(1, 11)",0.1
"(1, 12)",0.27
"(1, 13)",0.06
"(1, 14)",0.06
"(1, 15)",0.0
"(1, 16)",0.02
"(1, 21)",0.27
"(1, 22)",5.0
"(2, 1)",1.75
"(2, 3)",0.33
"(2, 4)",0.0
"(2, 5)",0.12
"(2, 6)",0.0
"(2, 7)",0.0
"(2, 8)",0.35
"(2, 9)",0.7
"(2, 10)",0.44
"(2, 11)",0.45
"(2, 12)",1.3
"(2, 13)",0.03
"(2, 14)",0.35
"(2, 15)",0.01
"(2, 16)",0.05
"(2, 21)",1.3
"(2, 22)",19.0
"(3, 1)",3.04
"(3, 2)",0.8
"(3, 4)",0.0
"(3, 5)",0.21
"(3, 6)",0.0
"(3, 7)",1.0
"(3, 8)",2.0
"(3, 9)",3.25
"(3, 10)",0.65
"(3, 11)",0.65
"(3, 12)",2.1
"(3, 13)",0.25
"(3, 14)",0.63
"(3, 15)",0.01
"(3, 16)",0.17
"(3, 21)",1.4
"(3, 22)",0.0
"(4, 1)",0.65
"(4, 2)",0.47
"(4, 3)",0.0
"(4, 5)",0.03
"(4, 6)",0.0
"(4, 7)",0.25
"(4, 8)",0.8
"(4, 9)",0.3
"(4, 10)",0.01
"(4, 11)",0.85
"(4, 12)",0.3
"(4, 13)",0.05
"(4, 14)",0.15
"(4, 15)",15.95
"(4, 16)",0.03
"(4, 21)",5.33
"(4, 22)",20.4
"(5, 1)",7.1
"(5, 2)",0.78
"(5, 3)",0.7
"(5, 4)",0.02
"(5, 6)",0.0
"(5, 7)",6.4
"(5, 8)",5.2
"(5, 9)",5.4
"(5, 10)",1.22
"(5, 11)",1.1
"(5, 12)",3.3
"(5, 13)",0.8
"(5, 14)",0.67
"(5, 15)",0.02
"(5, 16)",0.24
"(5, 21)",0.2
"(5, 22)",0.0
"(6, 1)",140.0
"(6, 2)",0.0
"(6, 3)",4.0
"(6, 4)",16.5
"(6, 5)",7.0
"(6, 7)",240.0
"(6, 8)",400.0
"(6, 9)",190.0
"(6, 10)",35.0
"(6, 11)",6.67
"(6, 12)",100.0
"(6, 13)",19.0
"(6, 14)",30.0
"(6, 15)",1.0
"(6, 16)",7.0
"(6, 21)",150.0
"(6, 22)",10708.0
"(7, 1)",0.1
"(7, 2)",0.0
"(7, 3)",0.02
"(7, 4)",0.0
"(7, 5)",0.05
"(7, 6)",0.0
"(7, 8)",0.29
"(7, 9)",0.46
"(7, 10)",0.11
"(7, 11)",0.13
"(7, 12)",0.13
"(7, 13)",0.07
"(7, 14)",0.07
"(7, 15)",0.0
"(7, 16)",0.02
"(7, 21)",0.4
"(7, 22)",6.7
"(8, 1)",0.34
"(8, 2)",0.02
"(8, 3)",0.04
"(8, 4)",0.01
"(8, 5)",0.04
"(8, 6)",0.0
"(8, 7)",0.22
"(8, 9)",0.19
"(8, 10)",0.06
"(8, 11)",0.12
"(8, 12)",0.28
"(8, 13)",0.07
"(8, 14)",0.07
"(8, 15)",0.0
"(8, 16)",0.03
"(8, 21)",0.42
"(8, 22)",6.1
"(9, 1)",0.46
"(9, 2)",0.04
"(9, 3)",0.09
"(9, 4)",0.0
